Metropolitan Postcode,Regional Postcode
3000,3097
3001,3098
3002,3099
3003,3139
3004,3211
3005,3212
3006,3213
3007,3214
3008,3215
3009,3216
3010,3217
3011,3218
3012,3219
3013,3220
3014,3221
3015,3222
3016,3223
3017,3224
3018,3225
3019,3226
3020,3227
3021,3228
3022,3229
3023,3230
3024,3231
3025,3232
3026,3233
3027,3234
3028,3235
3029,3236
3030,3237
3031,3238
3032,3239
3033,3240
3034,3241
3035,3242
3036,3243
3037,3244
3038,3245
3039,3246
3040,3247
3041,3248
3042,3249
3043,3250
3044,3251
3045,3252
3046,3253
3047,3254
3048,3255
3049,3256
3050,3257
3051,3258
3052,3259
3053,3260
3054,3261
3055,3262
3056,3263
3057,3264
3058,3265
3059,3266
3060,3267
3061,3268
3062,3269
3063,3270
3064,3271
3065,3272
3066,3273
3067,3274
3068,3275
3069,3276
3070,3277
3071,3278
3072,3279
3073,3280
3074,3281
3075,3282
3076,3283
3077,3284
3078,3285
3079,3286
3080,3287
3081,3288
3082,3289
3083,3290
3084,3291
3085,3292
3086,3293
3087,3294
3088,3295
3089,3296
3090,3297
3091,3298
3092,3299
3093,3300
3094,3301
3095,3302
3096,3303
3100,3304
3101,3305
3102,3306
3103,3307
3104,3308
3105,3309
3106,3310
3107,3311
3108,3312
3109,3313
3110,3314
3111,3315
3112,3316
3113,3317
3114,3318
3115,3319
3116,3320
3117,3321
3118,3322
3119,3323
3120,3324
3121,3325
3122,3328
3123,3329
3124,3330
3125,3331
3126,3332
3127,3333
3128,3334
3129,3340
3130,3341
3131,3342
3132,3345
3133,3346
3134,3347
3135,3348
3136,3349
3137,3350
3138,3351
3140,3352
3141,3353
3142,3354
3143,3355
3144,3356
3145,3357
3146,3358
3147,3359
3148,3360
3149,3361
3150,3362
3151,3363
3152,3364
3153,3365
3154,3366
3155,3367
3156,3368
3157,3369
3158,3370
3159,3371
3160,3372
3161,3373
3162,3374
3163,3375
3164,3376
3165,3377
3166,3378
3167,3379
3168,3380
3169,3381
3170,3382
3171,3383
3172,3384
3173,3385
3174,3386
3175,3387
3176,3388
3177,3389
3178,3390
3179,3391
3180,3392
3181,3393
3182,3394
3183,3395
3184,3396
3185,3397
3186,3398
3187,3399
3188,3400
3189,3401
3190,3402
3191,3403
3192,3404
3193,3405
3194,3406
3195,3407
3196,3408
3197,3409
3198,3410
3199,3411
3200,3412
3201,3413
3202,3414
3203,3415
3204,3416
3205,3417
3206,3418
3207,3419
3208,3420
3209,3421
3210,3422
3326,3423
3327,3424
3335,3430
3336,3431
3337,3432
3338,3433
3339,3434
3343,3435
3344,3436
3425,3437
3426,3438
3427,3439
3428,3440
3429,3441
3800,3442
3801,3443
3802,3444
3803,3445
3804,3446
3805,3447
3806,3448
3807,3449
3808,3450
3910,3451
3911,3452
3972,3453
3973,3454
3974,3455
3975,3456
3976,3457
3977,3458
3997,3459
3998,3460
3999,3461
